0.57140,0.42889,p
0.20610,0.81332,p
0.65347,0.16023,p
0.32777,0.25000,p
0.99656,0.04456,p
0.31436,0.54898,n
0.43603,0.06499,p
0.27470,0.61725,n
0.06277,0.48939,n
0.10876,0.45408,n
0.23734,0.61911,n
0.68702,0.64260,p
0.82942,0.47894,p
0.96236,0.43536,p
0.14127,0.59513,n
0.25470,0.45687,n
0.19173,0.57189,n
0.43931,0.97486,p
0.01605,0.20133,n
0.57424,0.52282,p
0.15774,0.60606,n
0.19434,0.43290,n
0.24638,0.61470,n
0.58458,0.41874,p
0.17607,0.46074,n
0.15361,0.07858,p
0.21172,0.51985,n
0.65362,0.56277,p
0.55645,0.14925,p
0.15495,0.48458,n
0.35557,0.00491,p
0.50151,0.77622,p
0.09270,0.46215,n
0.22678,0.49954,n
0.46775,0.30193,p
0.23440,0.37375,n
0.23924,0.51524,n
0.96938,0.47338,p
0.35053,0.55207,p
0.05645,0.48224,n
0.72274,0.35971,p
0.47097,0.06986,p
0.19077,0.42325,n
0.22937,0.41381,n
0.24264,0.39968,n
0.50799,0.42175,p
0.09268,0.05900,n
0.27036,0.27755,p
0.75664,0.53497,p
0.35065,0.89004,n
0.84673,0.81391,p
0.11841,0.40335,n
0.61376,0.02296,p
0.25278,0.37663,n
0.15039,0.55542,n
0.16898,0.00365,p
0.76364,0.36117,n
0.15929,0.90097,n
0.67024,0.05003,p
0.06048,0.29528,n
0.15061,0.62515,n
0.22423,0.57443,n
0.58317,0.86785,p
0.25399,0.38813,n
0.22736,0.53563,n
0.60802,0.54452,p
0.37925,0.65844,n
0.82138,0.39089,p
0.84743,0.72311,p
0.66293,0.29380,p
0.35184,0.34676,p
0.22537,0.53562,p
0.67341,0.30039,p
0.23365,0.44888,n
0.29384,0.43265,n
0.15988,0.53921,n
0.82480,0.14436,p
0.27391,0.11145,p
0.05802,0.41966,p
0.25018,0.59802,n
0.34461,0.84880,n
0.25072,0.42358,n
0.39387,0.43968,n
0.32398,0.84855,p
0.23555,0.46361,n
0.06070,0.47910,n
0.44123,0.97691,p
0.58360,0.74987,p
0.10697,0.11106,p
0.90710,0.71002,n
0.20021,0.44602,n
0.10483,0.60991,n
0.09512,0.42653,n
0.33511,0.21362,p
0.26088,0.43643,n
0.26738,0.60824,n
0.19698,0.46895,n
0.32188,0.43898,n
0.26027,0.36375,n
0.28103,0.37670,n
0.73464,0.75524,p
0.43600,0.52188,p
0.69557,0.18926,p
0.81367,0.72488,p
0.23487,0.46152,n
0.27837,0.55463,n
0.24572,0.38386,n
0.07581,0.75865,p
0.11975,0.75586,p
0.47740,0.90270,p
0.35577,0.46470,p
0.87125,0.43307,p
0.33447,0.84797,p
0.33854,0.35086,p
0.25240,0.45200,n
0.44641,0.76840,n
0.31916,0.50783,n
0.29107,0.56181,n
0.83004,0.19262,p
0.74630,0.95576,p
0.27607,0.53506,n
0.12341,0.60485,n
0.53629,0.13157,p
0.17046,0.15769,p
0.10767,0.86529,p
0.30826,0.57632,n
0.24030,0.60606,p
0.05869,0.54233,n
0.56336,0.68976,p
0.25037,0.10465,p
0.20283,0.35136,n
0.26926,0.57358,n
0.47089,0.95543,n
0.17414,0.40578,n
0.16878,0.63366,n
0.13882,0.37221,n
0.23037,0.54784,n
0.69773,0.47677,p
0.26928,0.43187,n
0.35902,0.61513,p
0.51657,0.92351,p
0.05149,0.50427,n
0.39134,0.22175,p
0.22561,0.39243,n
0.41615,0.61361,p
0.91737,0.81319,p
0.22525,0.37975,n
0.29181,0.42226,n
0.20811,0.39163,n
0.67473,0.71141,p
0.57171,0.35353,p
0.38247,0.44452,p
0.07422,0.49895,p
0.15627,0.44157,n
0.13963,0.36287,n
0.23714,0.40425,n
0.83683,0.87740,n
0.44664,0.33074,p
0.26306,0.45665,n
0.32554,0.46215,n
0.36634,0.87680,n
0.11168,0.51598,n
0.15738,0.47874,n
0.06107,0.46912,n
0.10843,0.39934,n
0.20668,0.57267,n
0.90184,0.22146,p
0.14810,0.53861,n
0.08432,0.46896,n
0.23488,0.55147,n
0.80233,0.98713,p
0.88183,0.75580,p
0.26506,0.42594,n
0.12784,0.58905,n
0.25506,0.42721,n
0.10660,0.55603,n
0.20735,0.48898,n
0.15087,0.44340,n
0.26920,0.18517,p
0.23178,0.53504,n
0.21152,0.43681,n
0.18511,0.63160,n
0.13791,0.41566,n
0.19118,0.43066,n
0.29284,0.46821,n
0.56648,0.50440,p
0.25646,0.59601,n
0.34263,0.47587,n
0.45401,0.43765,p
0.66856,0.69985,p
0.18882,0.97977,p
0.18813,0.41903,n
